Link_index	Source	Destination	Capacity(EPRps)	Length(km)	Real/Virtual
973	582	47	14957.19	16.0	real
974	161	583	151077.289	0	virtual
975	583	47	14957.19	16.0	real
976	161	584	151077.289	0	virtual
977	584	47	14957.19	16.0	real
978	46	585	151077.289	0	virtual
979	585	163	18743.124	14.0	real
980	46	586	151077.289	0	virtual
981	586	163	18743.124	14.0	real
982	46	587	151077.289	0	virtual
983	587	163	18743.124	14.0	real
984	163	588	151077.289	0	virtual
985	588	47	16706.241	15.0	real
986	163	589	151077.289	0	virtual
987	589	47	16706.241	15.0	real
988	163	590	151077.289	0	virtual
989	590	47	16706.241	15.0	real
990	47	591	151077.289	0	virtual
991	591	165	31547.867	10.0	real
992	47	592	151077.289	0	virtual
993	592	165	31547.867	10.0	real
994	47	593	151077.289	0	virtual
995	593	165	31547.867	10.0	real
996	165	594	151077.289	0	virtual
997	594	48	27389.072	11.0	real
998	165	595	151077.289	0	virtual
999	595	48	27389.072	11.0	real
1000	165	596	151077.289	0	virtual
1001	596	48	27389.072	11.0	real
1002	48	597	151077.289	0	virtual
1003	597	49	10730.097	19.225	real
1004	48	598	151077.289	0	virtual
1005	598	49	10730.097	19.225	real
1006	48	599	151077.289	0	virtual
1007	599	49	10730.097	19.225	real
